Sample,Total_Length_bp,N50_bp,Group
SRR1778450,27435794,2952,T2D
SRR413684,169105319,3764,T2D
SRR413686,218202418,3883,T2D
SRR413687,118660674,6908,T2D
SRR413691,86993737,6527,T2D
SRR413695,147398710,3842,T2D
SRR413697,162443766,5478,T2D
SRR413699,136212307,5823,T2D
SRR413700,153408696,8646,T2D
SRR413703,97520479,14794,T2D
SRR413705,117682781,7317,T2D
SRR413706,118030990,5894,T2D
SRR413716,96331442,3212,T2D
SRR413721,117128077,15274,T2D
SRR413724,189277025,4166,T2D
SRR413726,114944772,3616,T2D
SRR413732,146576416,5449,T2D
SRR413736,142391349,13043,T2D
SRR413738,144501802,11782,T2D
SRR413739,208628283,4127,T2D
SRR413742,176798510,5822,T2D
SRR413748,218179348,3415,T2D
SRR413752,172620184,8682,T2D
SRR413757,120069671,10286,T2D
SRR413759,135506882,13372,T2D
SRR413760,125117428,11380,T2D
SRR413761,272508544,7762,T2D
SRR413763,64528676,8162,T2D
SRR413765,88517327,20795,T2D
SRR413766,180376516,11797,T2D
SRR413768,110905239,7646,T2D
SRR413769,107548363,5247,T2D
SRR413773,174207006,10931,T2D
SRR413673,166506866,3176,T2D
SRR413674,138407674,18100,T2D
SRR413675,182916850,13116,T2D
SRR413676,171422974,4783,T2D
SRR413677,226884221,5689,T2D
SRR413679,203218250,4999,T2D
SRR413680,158834525,7216,T2D
SRR413688,56072523,12237,T2D
SRR413694,142791317,6573,T2D
SRR413698,156910083,6096,T2D
SRR413702,202602958,3493,T2D
SRR413704,77971988,23671,T2D
SRR413708,178048136,5361,T2D
SRR413709,170501473,5227,T2D
SRR413711,155431994,2964,T2D
SRR413713,108382797,6237,T2D
SRR413714,255073858,3860,T2D
SRR413715,103733841,6189,T2D
SRR413722,173538485,6798,T2D
SRR413723,138768721,5634,T2D
SRR413727,210182140,6155,T2D
SRR413730,103772176,7280,T2D
SRR413733,188394712,5526,T2D
SRR413737,112203419,3927,T2D
SRR413741,101613952,5878,T2D
SRR413744,199711781,4330,T2D
SRR413745,197825914,5659,T2D
SRR1778452,199221937,4667,Control
SRR341581,56768805,8618,Control
SRR1778453,137405720,15177,Control
SRR1778451,152392761,19095,Control
SRR1778456,218905338,5781,Control
SRR341586,91459130,2550,Control
SRR341587,58220600,9007,Control
SRR341588,65265374,11345,Control
SRR341590,122024952,4611,Control
SRR341596,113513716,1705,Control
SRR341602,70193003,3718,Control
SRR341604,60833045,12381,Control
SRR341611,66763887,2382,Control
SRR341612,83765030,3059,Control
SRR341615,93868755,2472,Control
SRR341617,75499820,2835,Control
SRR341623,80739722,3705,Control
SRR341624,70463154,4060,Control
SRR341626,68205749,1809,Control
SRR341627,74404887,2227,Control
SRR341628,83674634,2146,Control
SRR341630,82554331,2521,Control
SRR341631,35032652,1940,Control
SRR341634,62798421,2554,Control
SRR341640,84002431,4507,Control
SRR341645,87295634,2932,Control
SRR341650,79353626,4456,Control
SRR341653,93855947,4466,Control
SRR341659,103503450,3488,Control
SRR341660,72598704,3665,Control
SRR341663,107337098,4544,Control
SRR341664,130712774,2349,Control
SRR341669,98662886,3219,Control
SRR341673,69954524,6590,Control
SRR341675,142476009,4713,Control
SRR341679,129476917,3346,Control
SRR341681,75105072,11646,Control
SRR341682,131790868,6344,Control
SRR341684,74566717,6705,Control
SRR341686,98638859,3361,Control
SRR341687,139273661,3465,Control
SRR341691,109222395,6967,Control
SRR341695,122816442,2501,Control
SRR341697,83064558,7515,Control
SRR341698,126672745,7072,Control
SRR341700,118600396,5046,Control
SRR341701,64930751,7852,Control
SRR341710,134868232,4386,Control
SRR341711,141049265,1964,Control
SRR341712,71789542,1640,Control
SRR341713,106767392,9282,Control
SRR341719,122308847,2806,Control
SRR413558,118464448,2928,Control
SRR413561,121244923,3190,Control
SRR413562,175032449,5324,Control
SRR413568,117662984,4604,Control
SRR413571,74563584,7000,Control
SRR413573,98264960,17234,Control
SRR413574,166675842,5479,Control
SRR413577,90994248,6718,Control
